PID,Social Media Post,Normalized Claim,post
19,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business & JOBS","Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""","working hard on the biggest tax cut inch you.s. history. great support from so many sides. big winners will be the middle class, business jobs"
20,"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!","Sometimes 100,000 people or more die from the seasonal flu","flu season is coming up! many people every year, sometimes over 100,000, and despite the vaccine, die from the flu. are we going to close down our country? no, we have learned to live with it, just like we are learning to live with covid, inch most populations far less lethal!!!"
21,"*Bank strike announced on 26th & 27th September*,
*28th September is 4th Saturday*,
*29th is Sunday..*
*30 th half yearly closing.*
*Oct 2 Gandhi Jayanthi holiday.*
*Plan accordingly*",Banks are closed continuously from 26th September 2019 to 30th September 2019.,"bank strike announced on 26th 27th september, 28th september is 4th saturday, 29th is sunday.. 30 th half yearly closing. oct 2 gandhi jayanthi holiday. plan accordingly"
22,"420. Fraud 
 @annamalai_k","Modi inaugurated the first phase of the Ahmedabad metro project, which was already inaugurated in 2019.",420. fraud annamalaik
23,"The facts don't lie. The 2021 letter you signed was obviously drafted by railroad industry lobbyists. 
 
 It supports waivers that would reduce visual track inspections. 
 
 Now: will you vote to help us toughen rail safety accountability and fines, or not?"," ""The 2021 letter [Marco Rubio] signed was obviously drafted by railroad industry lobbyists. It supports waivers that would reduce visual track inspections.”","the facts do not lie. the 2021 letter you signed was obviously drafted by railroad industry lobbyists. it supports waivers that would reduce visual track inspections. now will you vote to help us toughen rail safety accountability and fines, or not?"
24,"New variant B.1.1.529 is named as #OMICRON
Stay at Home
From A Doctors' group RSA
The virus is back, this time with more energy, tactics and camouflage.
We don't cough, No fever, it's joint pain, weakness,
Loss of appetite and Covid pneumonia!
Of course, the death rate is higher, it takes less time to get to the extreme. Sometimes no symptoms ... let's be careful ...
The strain is not domiciled in our nasopharyngeal region!
It directly affects the lungs, which means window periods are shortened.
I have seen a number of patients without fever, but an x-ray report shows moderate chest pneumonia!
The nasal swab is often negative for COVID19!
There are more and more false pharyngeal nasal tests #COVID19) ... which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia! This explains why it has become acute and more fatal !!!
Be careful, avoid crowded places, wear a face mask, wash your hands often.
*WAVE* more deadly than the first. So we have to be very careful and *take every precaution.*
Please become an alert communicator among friends and family ...
__________
DO NOT keep this information to yourself, share it with your family and friends.
Please take care and stay safe !",The Omicron variant cannot be detected by PCR test?,"new variant b.1.1.529 is named as omicron stay at home from a doctors group rsa the virus is back, this time with more energy, tactics and camouflage. we do not cough, no fever, it is joint pain, weakness, loss of appetite and covid pneumonia! of course, the death rate is higher, it takes less time to get to the extreme. sometimes no symptoms ... let us be careful ... the strain is not domiciled inch our nasopharyngeal region! it directly affects the lungs, which means window periods are shortened. i have seen a number of patients without fever, but an xray report shows moderate chest pneumonia! the nasal swab is often negative for covid19! there are more and more false pharyngeal nasal tests covid19 ... which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia! this explains why it has become acute and more fatal !!! be careful, avoid crowded places, wear a face mask, wash your hands often. wave more deadly than the first. so we have to be very careful and take every precaution. please become an alert communicator among friends and family ... do not keep this information to yourself, share it with your family and friends. please take care and stay safe !"
25,The UNHCR is present in the region and they are the right mechanism by which people should apply if they do want to seek asylum in the United Kingdom,People fleeing Sudan for humanitarian reasons should apply through the UNHCR if they want to seek asylum in the UK.,the unhcr is present inch the region and they are the right mechanism by which people should apply if they do want to seek asylum inch the united kingdom
26,"PSA:
This is Hypercapnia. It can be caused by rebreathing your own exhaled CO2 by wearing a mask CONTINUOUSLY!","Wearing a mask can cause hypercapnia, by making you breathe in too much carbon dioxide.",psa this is hypercapnia. it can be caused by rebreathing your own exhaled co2 by wearing a mask continuously!
27,all the world's a stage,A police car destroyed during protests in Bristol is a prop vehicle as the MOT has expired.,all the worlds a stage
28,"A study found that 2 hours of silence per day promotes cell development in the hippocampus region of the brain, where memories are found",Fact Check: Can remaining silent for a few hours per day promote cell growth in the human brain?,"a study found that 2 hours of silence per day promotes cell development inch the hippocampus region of the brain, where memories are found"
29,How Can Harris Be The 1st Black Woman to Run for VP? or Person of Color? MEET Charlotta Bass.,Charlotta Bass was the first Black woman to run for vice president,how can harris be the 1st black woman to run for vice president? or person of color? meet charlotta bass.
30,"@GovEvers
  liquor stores are open, strip malls can have 5 customers, but dentists are non-essential?! 
 @VickiMcKenna
  @EmpowerWi
  #wiright",Says Gov Tony Evers’ administration deemed dentists non-essential,"govevers liquor stores are open, strip malls can have 5 customers, but dentists are nonessential?! vickimckenna empowerwi wiright"
31,Pilot pissing in the cockpit of PAF F-16 said urine increases efficiency of jets told by Allah in his dream,Pilot pissing in the cockpit of PAF F-16 said urine increases efficiency of jets told by Allah in his dream.,pilot pissing inch the cockpit of paf f16 said urine increases efficiency of jets told by allah inch his dream
32,It is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth.,Herbal teeth whitening foams strengthen gums,it is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth.
33,It is interesting to see the memorandum of the British government through which Mr. Gandhi became Mahatma Gandhi officially,It is interesting to see the memorandum of the British government through which  Mr. Gandhi became Mahatma Gandhi officially.,it is interesting to see the memorandum of the british government through which mr. gandhi became mahatma gandhi officially
34,"The lady holding the #BIBLE in her hand is none other than..
 
 The wife of Subba Reddy (Chairman of the world richest Hindu temple - Tirupati)
 
 Dear Hindu's..
 Wake up before it's too late","The lady holding the #BIBLE in her hand is none other than..

The wife of Subba Reddy (Chairman of the world richest Hindu temple – Tirupati🛕)

Dear Hindu’s..

Wake up before it’s too late🙏",the lady holding the bible inch her hand is none other than.. the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindus.. wake up before it is too late
35,"We've bought the Moderna which protects you against both Covid and flu, which is a good thing, so get that booster in place.""
This isn",The Moderna booster vaccine protects you against both Covid-19 and flu.,"we have bought the moderna which protects you against both covid and flu, which is a good thing, so get that booster inch place. this isn"
36,Updated UK government assessment for Pfizer COVID-19 Vaccine: https://gov.uk/government/publications/regulatory-approval-of-pfizer-biontech-vaccine-for-covid-19/summary-public-assessment-report-for-pfizerbiontech-covid-19-vaccine,U.K. has revoked covid vaccine for pregnant women,updated uk government assessment for pfizer covid19 vaccine hypertext transfer protocol securegovernorukgovernmentpublicationsregulatoryapprovalofpfizerbiontechvaccineforcovid19summarypublicassessmentreportforpfizerbiontechcovid19vaccine
37,"""The benefit of the vaccine in no way outweigh the risks.""
Denmark suspends Covid vax program after study of 23 million people raises health alarms",Denmark paused the covid vaccination program due to increased risk of myocarditis,the benefit of the vaccine inch no way outweigh the risks. denmark suspends covid vax program after study of 23 million people raises health alarms
38,"So you're going to receive a text message on your phone. If you don't reply to that text message, basically, the use of your phone is going to be limited so they're going to put your phone off for the day.",Mobile phone networks are in breach of GDPR by providing your phone number to another agency to allow emergency alerts.,"so you are going to receive a text message on your phone. if you do not reply to that text message, basically, the use of your phone is going to be limited so they are going to put your phone off for the day."
39,"Landslide Victory In Gujarat. 
 Scene From One Of The Strong Rooms In That State
 Bhavnagar Constituency.","Landslide Victory In Gujarat.

Scene From One Of The Strong Rooms In That State

Bhavnagar Constituency.",landslide victory inch gujarat. scene from one of the strong rooms inch that state bhavnagar constituency.
40,"This is the guy who added his infected blood to Pepsi. For the next few weeks do not drink any products from Pepsi, as a worker from the company has added his blood contaminated with HIV(AIDS). Brothers and sisters please this message to the people who u care",Man shown in the picture has added his HIV-infected blood to Pepsi. Do not consume Pepsi for the next few weeks,"this is the guy who added his infected blood to pepsi. for the next few weeks do not drink any products from pepsi, as a worker from the company has added his blood contaminated with human immunodeficiency virusacquired immunodeficiency syndrome. brothers and sisters please this message to the people who you care"
41,The Chinese Balloon has been shot down after Biden called the Chinese President and asked for his permission to shoot it down.,Biden asked China for permission to shoot down spy balloon,the chinese balloon has been shot down after biden called the chinese president and asked for his permission to shoot it down.
42,"Unsurprisingly, the only two regimes to ever regulated stargazing have been the inquisition and 
 @NYGovCuomo",“State Forces Citizens to Pay for ‘Stargazing Permit’ to View Night Sky in Public Parks”,"unsurprisingly, the only two regimes to ever regulated stargazing have been the inquisition and nygovcuomo"
43,"This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition, so keep paying taxes on time","This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition","this is a rohingya family. destitute on a road inch delhi. together with 8 children, 3 wives, out of which 2 are also pregnant. inch hand is samsung c7 pro mobile which costs only rs 29,000. the opposition is sad to see their condition, so keep paying taxes on time"
44,"Planned by then CM Modi, inaugurated by PM Modi, Jamnagar-Junagarh highway bridge collapsed within 3 months of inauguration!",The collapsed ‘Jamnagar-Junagarh highway bridge’ was inaugurated by PM Modi three months ago.,"planned by then centimeter modi, inaugurated by pm modi, jamnagarjunagarh highway bridge collapsed within 3 months of inauguration!"
45,"Anything Is Possible With Yogiraj.  Got a job for those who smoke ganja
salary more than 80 lakhs.",Anything Is Possible With Yogiraj,anything is possible with yogiraj. got a job for those who smoke ganja salary more than 80 lakhs.
46,Japan's dressing room after Costa Rica match.,Japan’s dressing room after the Costa Rica match.,japans dressing room after costa rica match.
47,"Had this floating around my family WhatsApp threads. Looks like spam? 
 
 Getting trough family panic and anti-China paranoia about Coronavirus is proving hard enough as it is.","Coronavirus stays on fabric for 9 hours, so washing clothes or being exposed to the sun for two hours meets the purpose of killing it.",had this floating around my family whatsapp threads. looks like spam? getting trough family panic and antichina paranoia about coronavirus is proving hard enough as it is.
48,The plane of Indonesia passengers has a narrow escape,Indonesia का जहाज़ मुसाफीर के साथ बाल बाल बचा•,the plane of indonesia passengers has a narrow escape
49,"If you are experiencing pregnancy complications and your doctor tells you that abortion is necessary, find a new doctor. You and your baby deserve better. Abortion is never medically necessary to save the life of the mother.",abortions are never medically necessary,"if you are experiencing pregnancy complications and your doctor tells you that abortion is necessary, find a new doctor. you and your baby deserve better. abortion is never medically necessary to save the life of the mother."
50,"Amul 75th Anniversary! Click to enter to participate in the survey, have a chance to win 6000 Rupee!","Amul 75th Anniversary! Click to enter to participate in the survey, have a chance to win 6000 Rupee!","amul 75th anniversary! click to enter to participate inch the survey, have a chance to win 6000 rupee!"
51,"Another in a series of lies spread by Modi .. !!
 #Modi",PM Narendra Modi credited first Metro service in the country to Atal Bihari Vajpayee,another inch a series of lies spread by modi .. !! modi
52,"2020:
 Peak active cases - 9,034,460
 Vaccinated - 0%
 
 2021:
 Peak active cases - 9,243,682
 Vaccinated - 71%
 
 I hate to break this to you, but this not a ""pandemic of the unvaccinated.""","""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'""","2020 peak active cases 9,034,460 vaccinated 0 2021 peak active cases 9,243,682 vaccinated 71 i hate to break this to you, but this not a pandemic of the unvaccinated."
53,"We're going to celebrate our grand opening by doing something special for you. We will be rewarding someone who has shared then commented by February 13th with a 10 night stay for 2 people in a 4* all inclusive hotel. Don't worry about flights and transfers, it's all included. You will have 2 years to use the holiday",People who share then comment on a Facebook post will be given the chance to win a holiday.,"we are going to celebrate our grand opening by doing something special for you. we will be rewarding someone who has shared then commented by february 13th with a 10 night stay for 2 people inch a 4 all inclusive hotel. do not worry about flights and transfers, it is all included. you will have 2 years to use the holiday"
54,BJP has won elections in Gujarat and Himachal Pradesh through EVM Hacking: TS Krishnamurthy pre-election commissioner,BJP has won elections in Gujarat and Himachal Pradesh through EVM Hacking: TS Krishnamurthy pre-election commissioner,bjp has won elections inch gujarat and himachal pradesh through evm hacking ts krishnamurthy preelection commissioner
55,Aussie with the real talk,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",aussie with the real talk
56,"DID YOU KNOW?
Natural cures89
Dandelion root is able to kill 98% of cancer cells within 48 hours. Not only that, but it acts as a powerful anti- inflammatory, immune booster, antioxidant and organ detoxifier",Dandelion root is able to kill 98% of cancer cells within 48 hours.,"did you know? natural cures89 dandelion root is able to kill 98 of cancer cells within 48 hours. not only that, but it acts as a powerful anti inflammatory, immune booster, antioxidant and organ detoxifier"
57,"Atheist in in Indian context is only a Hindu non believer of his own hereditary faith but owing allegiance to other faiths. That too to Christianity.
 Pl be informed of this clarification","Pictures of South Indian actor turned politician, Prakash Raj, have gone viral with a claim that he has become a Christian. We found that the pictures were real but not from the same context that’s shared in social media messages.",atheist inch inch indian context is only a hindu non believer of his own hereditary faith but owing allegiance to other faiths. that too to christianity. pl be informed of this clarification
58,Not sure if he is prophesying or planning? Has anyone read the chapter that this passage belongs to?,"Thousands in Spain, Israel and Portugal have taken to the streets in protest against the effects of World Economic Forum globalism.",not sure if he is prophesying or planning? has anyone read the chapter that this passage belongs to?
59,"Hold off on the ""voting doesn't work"" Doomers. Voting didn't work previously. Now we are onto their schemes.
 
 I'm going until the next election for President.
 
 I expect this one to be a haggard mess. If it doesn't get sorted out and accountability applied by the next one I'll join you in your misery.","“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”
",hold off on the voting does not work doomers. voting did not work previously. now we are onto their schemes. i am going until the next election for president. i expect this one to be a haggard mess. if it does not get sorted out and accountability applied by the next one i will join you inch your misery.
60,"I think [this study is] very likely to be correct. I'd see no reason to doubt it. More importantly, it's exactly what any immunologist would expect to be true",Research from Israel suggests that the Pfizer vaccine is much less protective against Covid-19 than natural immunity from catching the disease.,"i think this study is very likely to be correct. i would see no reason to doubt it. more importantly, it is exactly what any immunologist would expect to be true"
61,"Hello my name is Kane Stewart. I was born here in #Leyland, June 17 1973 looking for my birth mother or father. Mother's name is Cathy M Evans and she was only 16 at time of my birth. That's all info I have. Please help me reunite with my family by #SHARING",A Facebook user is searching for their birth mother or father.,"hello my name is kane stewart. i was born here inch leyland, june 17 1973 looking for my birth mother or father. mothers name is cathy m evans and she was only 16 at time of my birth. that is all info i have. please help me reunite with my family by sharing"
62,Really bad news! The Baltimore house of Elijah Cummings was robbed. Too bad!,"""Elijah Cummings’ house was broken into after Trump publicly attacked him on Twitter.""",really bad news! the baltimore house of elijah cummings was robbed. too bad!
63,"30 mins long but well worth a watch and just what we need , great work from this fella reporting a criminal offence committed by someone in public office",The vaccines contain polysorbate 80 and that is known to cause fertility issues.,"30 mins long but well worth a watch and just what we need , great work from this fella reporting a criminal offence committed by someone inch public office"
64,This is great can post this to people that argue with me now. Would be great if we can find the original link though,A poster from the MHRA makes various claims about the vaccines and importance of Yellow Card reports.,this is great can post this to people that argue with me now. would be great if we can find the original link though
65,"From 18th June (Saturday last week) till August 2022 this year, it will be colder than previous years. They call it Aphelion phenomenon starting from tomorrow @ 05.22 we will experience the Aphelion phenomenon where the Earth will be very far from the sun. We cannot see the phenomenon but we can feel its impact. This will last until August 2022, we will experience cold weather which will have an impact on flu, cough, shortness of breath etc.Therefore, let's all increase immunity by *drinking lots of vitamins or supplement* so that our immunity will be strong.The distance from Earth to Sun is 5 light minutes of 90,000,000km the phenomenon of Aphelion to 152,000,000 km 6.6 % farther. Protect your body from cold, wear warm cloths, *drink vitamins & supplements* to boost your immunity.","Several social media posts claim the aphelion phenomenon will increase Earth’s temperature till august. We fact-checked and found the claim to be False. The aphelion phenomenon affects the duration of weather, not the intensity.","from 18th june saturday last week till august 2022 this year, it will be colder than previous years. they call it aphelion phenomenon starting from tomorrow 05.22 we will experience the aphelion phenomenon where the earth will be very far from the sun. we cannot see the phenomenon but we can feel its impact. this will last until august 2022, we will experience cold weather which will have an impact on flu, cough, shortness of breath et ceteratherefore, let us all increase immunity by drinking lots of vitamins or supplement so that our immunity will be strong.the distance from earth to sun is 5 light minutes of 90,000,000km the phenomenon of aphelion to 152,000,000 kilometer 6.6 farther. protect your body from cold, wear warm cloths, drink vitamins supplements to boost your immunity."
66,Officers have been subjected to considerable levels of abuse and violence. One suffered a broken arm and another suffered broken ribs. Both have been taken to hospital,Police officers suffered broken bones at a Bristol protest.,officers have been subjected to considerable levels of abuse and violence. one suffered a broken arm and another suffered broken ribs. both have been taken to hospital
67,One in a hundred children will actually get sick enough [with Covid] to be admitted to hospital,One in 100 children who catch Covid-19 get sick enough with the disease to be admitted to hospital.,one inch a hundred children will actually get sick enough with covid to be admitted to hospital
68,"Gosh! Okay... I, Pete Buttigieg, politician, do henceforth and forthwith declare, most affirmatively and indubitably, unto the ages, that I do favor Medicare for All, as I do favor any measure that would help get all Americans covered. Now if you'll excuse me, potholes await.","Says that Amazon ""is literally paying zero in taxes.""","gosh! okay... i, pete buttigieg, politician, do henceforth and forthwith declare, most affirmatively and indubitably, unto the ages, that i do favor medicare for all, as i do favor any measure that would help get all americans covered. now if you will excuse me, potholes await."
